Period,Order Type,District,Facility Code,Facility Name,Facility Type,Facility Operator,Product Code,Product,Unit of Issue,Quantity Received,Quantity Issued,AMC,Closing balance (SOH),Requested Quantity,Total stockout days,Total losses and adjustments
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,0,1,2,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,0,0,20,-,0,5
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,0,18,4,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,FP003800,Male condoms,Each,0,"1,584","1,515","26,971",-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,0,0,280,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,0,0,15,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,FP000600,Oral Contraceptive Tablets - Levonogestrel Only 0.3mg (Microlut),Each,0,0,0,180,-,0,0
01/06/2026,Normal,Zomba,ZA2723,Zomba Mental Hospital,Mental Hospital,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,0,0,786,-,0,0
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,BB010800,"Calcium gluconate 10%, 10ml",Each,0,0,0,17,-,0,-10
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,BB021301,"Dexamethasone Injection 5mg/2ml,2ml",Each,350,0,0,350,-,8,-120
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,0,0,640,-,0,640
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP002400,Copper containing IUCD (Copper T®),Set,0,0,0,7,-,0,-8
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP002402,"Hormonal Intrauterine device (H-IUD), 6 years e.g Avibela/Mirena",Set,0,0,0,23,-,0,-35
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,8,40,0,-,27,5
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,0,0,590,-,0,590
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,0,5,5,-,0,0
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP004151,"Levoplant (Levonogetrel75mg/rod),2rod Implant,3  years Efficacy",Vial,0,50,25,50,-,0,-700
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP003800,Male condoms,Each,0,"8,784","5,832","1,008",-,0,"9,648"
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,"3,804","1,180",740,"2,224",-,0,-800
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,"2,498",200,200,"1,698",-,0,-600
01/06/2026,Normal,Zomba,ZA2772,Zomba DHO Pharmacy,District Health Office,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,0,386,0,-,30,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,5,3,6,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,0,0,"2,592","62,060",-,30,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,80,60,160,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,0,0,95,-,0,0
01/06/2026,Normal,Zomba,ZA2762,Zomba Central Prison Clinic Health Centre,Health Centre,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,0,42,0,-,30,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,BB010800,"Calcium gluconate 10%, 10ml",Each,0,5,13,40,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,BB021301,"Dexamethasone Injection 5mg/2ml,2ml",Each,"5,000","1,680",971,"5,521",-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,FP002402,"Hormonal Intrauterine device (H-IUD), 6 years e.g Avibela/Mirena",Set,0,20,10,401,-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,FP003800,Male condoms,Each,0,0,"10,368","947,232",-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,"4,928",900,450,"4,108",-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,0,100,"1,200",-,0,0
01/06/2026,Normal,Zomba,ZA2722,Zomba Central Hospital,Central Hospital,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,126,237,981,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,ST062500,Female Condoms,Piece,0,0,0,476,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,FP002402,"Hormonal Intrauterine device (H-IUD), 6 years e.g Avibela/Mirena",Set,0,0,0,3,-,0,3
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,20,35,52,-,10,30
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,20,15,10,-,10,30
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,40,35,8,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,0,"6,192","5,616","7,200",-,0,"7,200"
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,400,350,135,-,0,-300
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,405,203,"2,140",-,0,"2,545"
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,FP000600,Oral Contraceptive Tablets - Levonogestrel Only 0.3mg (Microlut),Each,0,6,8,0,-,0,0
01/06/2026,Normal,Mzimba North,MZN0574,Zolozolo Health Centre,Health Centre,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,210,189,48,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,0,0,60,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,ST062500,Female Condoms,Piece,0,0,5,16,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,0,0,17,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,0,5,20,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,3,6,0,-,4,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,0,"21,744","17,309","24,912",-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,450,450,466,-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,550,675,"1,002",-,0,0
01/06/2026,Normal,Thyolo,TO3123,Zoa Health Centre,Health Centre,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,180,177,327,-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,HH000104,"Delivery Drape, Calibrated",Each,0,100,50,100,-,0,100
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,BB021301,"Dexamethasone Injection 5mg/2ml,2ml",Each,0,0,28,0,-,30,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,0,15,70,-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,FP002400,Copper containing IUCD (Copper T®),Set,0,0,3,45,-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,43,64,35,-,18,44
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,50,104,120,-,22,170
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,10,35,85,-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,FP004151,"Levoplant (Levonogetrel75mg/rod),2rod Implant,3  years Efficacy",Vial,0,30,15,40,-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,0,"33,120","35,424","12,816",-,0,"5,184"
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,0,240,500,-,29,500
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,100,"1,100",400,-,28,400
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,FP000600,Oral Contraceptive Tablets - Levonogestrel Only 0.3mg (Microlut),Each,0,30,30,30,-,0,0
01/06/2026,Normal,Blantyre,BT2922,Zingwangwa Health Centre,Health Centre,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,126,357,42,-,21,0
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,FP002400,Copper containing IUCD (Copper T®),Set,0,0,0,11,-,0,0
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,10,20,22,-,0,0
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,0,"5,043","5,042","11,232",-,0,0
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,480,360,500,-,0,0
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,150,145,126,-,0,0
01/06/2026,Normal,Zomba,ZA2735,Zilindo Health Centre,Health Centre,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,0,30,837,-,0,-150
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,FP002400,Copper containing IUCD (Copper T®),Set,0,0,0,45,-,0,0
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,ST062500,Female Condoms,Piece,0,10,69,5,-,0,0
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,FP002402,"Hormonal Intrauterine device (H-IUD), 6 years e.g Avibela/Mirena",Set,0,0,0,3,-,0,3
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,14,18,0,-,0,0
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,20,10,10,-,0,0
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,419,406,603,890,-,0,0
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,FP004151,"Levoplant (Levonogetrel75mg/rod),2rod Implant,3  years Efficacy",Vial,0,0,0,220,-,0,220
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,FP003800,Male condoms,Each,0,"3,804","6,552","8,784",-,0,0
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,50,25,100,-,0,150
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,400,200,0,-,0,400
01/06/2026,Normal,Neno,NE3713,Zalewa Dapp (dapp Hope) Clinic,Health Centre,Private,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,126,189,294,-,0,0
01/06/2026,Normal,Nkhota Kota,KK1133,World Medical Fund Clinic,Clinic,Private,FP002400,Copper containing IUCD (Copper T®),Set,0,0,0,3,-,0,0
01/06/2026,Normal,Nkhota Kota,KK1133,World Medical Fund Clinic,Clinic,Private,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,0,0,10,-,0,0
01/06/2026,Normal,Nkhota Kota,KK1133,World Medical Fund Clinic,Clinic,Private,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,0,0,10,-,0,0
01/06/2026,Normal,Nkhota Kota,KK1133,World Medical Fund Clinic,Clinic,Private,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,2,3,10,-,0,0
01/06/2026,Normal,Nkhota Kota,KK1133,World Medical Fund Clinic,Clinic,Private,FP003800,Male condoms,Each,0,"1,152",720,864,-,0,"1,440"
01/06/2026,Normal,Nkhota Kota,KK1133,World Medical Fund Clinic,Clinic,Private,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,11,7,39,-,0,0
01/06/2026,Normal,Nkhota Kota,KK1133,World Medical Fund Clinic,Clinic,Private,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,3,3,170,-,0,0
01/06/2026,Normal,Nkhota Kota,KK1133,World Medical Fund Clinic,Clinic,Private,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,23,24,127,-,0,-30
01/06/2026,Normal,Kasungu,KU1016,Wimbe Health Centre,Health Centre,Government of Malawi,BB021301,"Dexamethasone Injection 5mg/2ml,2ml",Each,20,10,15,20,-,7,0
01/06/2026,Normal,Kasungu,KU1016,Wimbe Health Centre,Health Centre,Government of Malawi,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,0,0,100,-,0,0
01/06/2026,Normal,Kasungu,KU1016,Wimbe Health Centre,Health Centre,Government of Malawi,ST062500,Female Condoms,Piece,0,0,0,40,-,0,0
01/06/2026,Normal,Kasungu,KU1016,Wimbe Health Centre,Health Centre,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,50,25,50,-,0,0
01/06/2026,Normal,Kasungu,KU1016,Wimbe Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,4,2,49,-,0,0
01/06/2026,Normal,Kasungu,KU1016,Wimbe Health Centre,Health Centre,Government of Malawi,FP004151,"Levoplant (Levonogetrel75mg/rod),2rod Implant,3  years Efficacy",Vial,0,0,0,30,-,0,0
01/06/2026,Normal,Kasungu,KU1016,Wimbe Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,"3,024","2,160","2,520","1,152",-,0,-288
01/06/2026,Normal,Kasungu,KU1016,Wimbe Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,100,145,"1,180",-,0,0
01/06/2026,Normal,Kasungu,KU1016,Wimbe Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,400,364,600,-,0,0
01/06/2026,Normal,Kasungu,KU1016,Wimbe Health Centre,Health Centre,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,117,210,0,-,15,0
01/06/2026,Normal,Karonga,KA0214,Wiliro Health Centre,Health Centre,Government of Malawi,FP002400,Copper containing IUCD (Copper T®),Set,0,0,0,17,-,0,0
01/06/2026,Normal,Karonga,KA0214,Wiliro Health Centre,Health Centre,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,0,0,69,-,0,0
01/06/2026,Normal,Karonga,KA0214,Wiliro Health Centre,Health Centre,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,10,5,4,-,0,0
01/06/2026,Normal,Karonga,KA0214,Wiliro Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,2,2,0,-,10,0
01/06/2026,Normal,Karonga,KA0214,Wiliro Health Centre,Health Centre,Government of Malawi,FP004151,"Levoplant (Levonogetrel75mg/rod),2rod Implant,3  years Efficacy",Vial,0,0,0,11,-,0,11
01/06/2026,Normal,Karonga,KA0214,Wiliro Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,0,"4,896","3,024","7,632",-,0,0
01/06/2026,Normal,Karonga,KA0214,Wiliro Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,80,105,0,-,14,0
01/06/2026,Normal,Karonga,KA0214,Wiliro Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,60,65,0,-,7,0
01/06/2026,Normal,Karonga,KA0214,Wiliro Health Centre,Health Centre,Government of Malawi,FP000600,Oral Contraceptive Tablets - Levonogestrel Only 0.3mg (Microlut),Each,0,6,3,18,-,0,0
01/06/2026,Normal,Chitipa,CP0111,Wenya Health Centre,Health Centre,Government of Malawi,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,0,0,15,-,0,0
01/06/2026,Normal,Chitipa,CP0111,Wenya Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,11,8,118,-,0,0
01/06/2026,Normal,Chitipa,CP0111,Wenya Health Centre,Health Centre,Government of Malawi,FP004151,"Levoplant (Levonogetrel75mg/rod),2rod Implant,3  years Efficacy",Vial,0,0,0,35,-,0,0
01/06/2026,Normal,Chitipa,CP0111,Wenya Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,"10,368","8,496","7,128","1,872",-,0,0
01/06/2026,Normal,Chitipa,CP0111,Wenya Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,205,221,20,-,12,200
01/06/2026,Normal,Chitipa,CP0111,Wenya Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,200,110,210,-,0,400
01/06/2026,Normal,Chitipa,CP0111,Wenya Health Centre,Health Centre,Government of Malawi,FP000600,Oral Contraceptive Tablets - Levonogestrel Only 0.3mg (Microlut),Each,0,0,0,3,-,0,0
01/06/2026,Normal,Chitipa,CP0111,Wenya Health Centre,Health Centre,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,0,18,0,-,30,0
01/06/2026,Normal,Dowa,DA1346,Wandikweza Health Centre,Health Centre,CHAM,BB021301,"Dexamethasone Injection 5mg/2ml,2ml",Each,0,0,3,0,-,30,0
01/06/2026,Normal,Dowa,DA1346,Wandikweza Health Centre,Health Centre,CHAM,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,0,0,30,-,0,30
01/06/2026,Normal,Dowa,DA1346,Wandikweza Health Centre,Health Centre,CHAM,FP002400,Copper containing IUCD (Copper T®),Set,0,0,0,10,-,0,0
01/06/2026,Normal,Dowa,DA1346,Wandikweza Health Centre,Health Centre,CHAM,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,0,30,0,-,30,0
01/06/2026,Normal,Dowa,DA1346,Wandikweza Health Centre,Health Centre,CHAM,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,20,20,40,-,0,40
01/06/2026,Normal,Dowa,DA1346,Wandikweza Health Centre,Health Centre,CHAM,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,16,18,0,-,0,0
01/06/2026,Normal,Dowa,DA1346,Wandikweza Health Centre,Health Centre,CHAM,FP004151,"Levoplant (Levonogetrel75mg/rod),2rod Implant,3  years Efficacy",Vial,0,0,10,10,-,0,0
01/06/2026,Normal,Dowa,DA1346,Wandikweza Health Centre,Health Centre,CHAM,FP003800,Male condoms,Each,0,"3,602","5,331","5,904",-,0,"5,904"
01/06/2026,Normal,Dowa,DA1346,Wandikweza Health Centre,Health Centre,CHAM,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,880,710,"1,440",-,0,0
01/06/2026,Normal,Dowa,DA1346,Wandikweza Health Centre,Health Centre,CHAM,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,0,287,0,-,30,0
01/06/2026,Normal,Dowa,DA1346,Wandikweza Health Centre,Health Centre,CHAM,FP000600,Oral Contraceptive Tablets - Levonogestrel Only 0.3mg (Microlut),Each,0,0,0,60,-,0,0
