Period,Order Type,District,Facility Code,Facility Name,Facility Type,Facility Operator,Product Code,Product,Unit of Issue,Quantity Received,Quantity Issued,AMC,Closing balance (SOH),Requested Quantity,Total stockout days,Total losses and adjustments
01/08/2026,Normal,Ntchisi,NS1204,Kangolwa Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,89,34,32,-,0,0
01/08/2026,Normal,Ntchisi,NS1204,Kangolwa Health Centre,Health Centre,Government of Malawi,FP004151,"Levoplant (Levonogetrel75mg/rod),2rod Implant,3  years Efficacy",Vial,0,0,0,20,-,0,0
01/08/2026,Normal,Ntchisi,NS1204,Kangolwa Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,0,"11,520","8,352","1,440",-,0,0
01/08/2026,Normal,Ntchisi,NS1204,Kangolwa Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,"1,551",300,179,"1,584",-,0,300
01/08/2026,Normal,Ntchisi,NS1204,Kangolwa Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,468,700,762,368,-,6,600
01/08/2026,Normal,Ntchisi,NS1204,Kangolwa Health Centre,Health Centre,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,69,37,27,-,0,84
01/08/2026,Normal,Ntcheu,NU1812,Kandeu Health Centre,Health Centre,Government of Malawi,BB021301,"Dexamethasone Injection 5mg/2ml,2ml",Each,0,0,4,40,-,0,0
01/08/2026,Normal,Ntcheu,NU1812,Kandeu Health Centre,Health Centre,Government of Malawi,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,0,0,5,-,0,0
01/08/2026,Normal,Ntcheu,NU1812,Kandeu Health Centre,Health Centre,Government of Malawi,FP002400,Copper containing IUCD (Copper T®),Set,0,0,0,30,-,0,0
01/08/2026,Normal,Ntcheu,NU1812,Kandeu Health Centre,Health Centre,Government of Malawi,FP002402,"Hormonal Intrauterine device (H-IUD), 6 years e.g Avibela/Mirena",Set,0,0,0,3,-,0,0
01/08/2026,Normal,Ntcheu,NU1812,Kandeu Health Centre,Health Centre,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,10,9,30,-,0,0
01/08/2026,Normal,Ntcheu,NU1812,Kandeu Health Centre,Health Centre,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,0,4,150,-,0,0
01/08/2026,Normal,Ntcheu,NU1812,Kandeu Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,11,6,8,-,0,0
01/08/2026,Normal,Ntcheu,NU1812,Kandeu Health Centre,Health Centre,Government of Malawi,FP004151,"Levoplant (Levonogetrel75mg/rod),2rod Implant,3  years Efficacy",Vial,0,0,0,40,-,0,0
01/08/2026,Normal,Ntcheu,NU1812,Kandeu Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,0,144,"1,032",0,-,26,0
01/08/2026,Normal,Ntcheu,NU1812,Kandeu Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,522,870,"1,257",-,0,"1,000"
01/08/2026,Normal,Ntcheu,NU1812,Kandeu Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,800,628,950,-,0,0
01/08/2026,Normal,Ntcheu,NU1812,Kandeu Health Centre,Health Centre,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,252,210,96,-,0,0
01/08/2026,Normal,Nkhata bay,NB0309,Kande Health Centre,Health Centre,Government of Malawi,BB021301,"Dexamethasone Injection 5mg/2ml,2ml",Each,0,0,4,0,-,30,0
01/08/2026,Normal,Nkhata bay,NB0309,Kande Health Centre,Health Centre,Government of Malawi,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,0,0,110,-,0,110
01/08/2026,Normal,Nkhata bay,NB0309,Kande Health Centre,Health Centre,Government of Malawi,FP002400,Copper containing IUCD (Copper T®),Set,0,0,1,3,-,0,0
01/08/2026,Normal,Nkhata bay,NB0309,Kande Health Centre,Health Centre,Government of Malawi,FP002402,"Hormonal Intrauterine device (H-IUD), 6 years e.g Avibela/Mirena",Set,0,3,3,16,-,0,-17
01/08/2026,Normal,Nkhata bay,NB0309,Kande Health Centre,Health Centre,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,25,9,63,-,0,0
01/08/2026,Normal,Nkhata bay,NB0309,Kande Health Centre,Health Centre,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,20,7,30,-,0,0
01/08/2026,Normal,Nkhata bay,NB0309,Kande Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,29,57,102,-,0,0
01/08/2026,Normal,Nkhata bay,NB0309,Kande Health Centre,Health Centre,Government of Malawi,FP004151,"Levoplant (Levonogetrel75mg/rod),2rod Implant,3  years Efficacy",Vial,0,0,0,12,-,0,0
01/08/2026,Normal,Nkhata bay,NB0309,Kande Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,"16,272","8,794","9,556","17,126",-,0,"5,184"
01/08/2026,Normal,Nkhata bay,NB0309,Kande Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,200,127,680,-,0,-200
01/08/2026,Normal,Nkhata bay,NB0309,Kande Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,180,139,151,-,0,0
01/08/2026,Normal,Nkhata bay,NB0309,Kande Health Centre,Health Centre,Government of Malawi,FP000600,Oral Contraceptive Tablets - Levonogestrel Only 0.3mg (Microlut),Each,0,0,0,45,-,0,-30
01/08/2026,Normal,Nkhata bay,NB0309,Kande Health Centre,Health Centre,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,63,157,408,-,0,0
01/08/2026,Normal,Mzimba North,MZN0557,Kamwe Health Centre,Health Centre,Government of Malawi,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,0,0,95,-,0,0
01/08/2026,Normal,Mzimba North,MZN0557,Kamwe Health Centre,Health Centre,Government of Malawi,ST062500,Female Condoms,Piece,0,0,17,188,-,0,0
01/08/2026,Normal,Mzimba North,MZN0557,Kamwe Health Centre,Health Centre,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,0,17,7,-,0,0
01/08/2026,Normal,Mzimba North,MZN0557,Kamwe Health Centre,Health Centre,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,0,7,90,-,0,0
01/08/2026,Normal,Mzimba North,MZN0557,Kamwe Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,7,7,18,-,0,0
01/08/2026,Normal,Mzimba North,MZN0557,Kamwe Health Centre,Health Centre,Government of Malawi,FP004151,"Levoplant (Levonogetrel75mg/rod),2rod Implant,3  years Efficacy",Vial,0,0,0,30,-,0,0
01/08/2026,Normal,Mzimba North,MZN0557,Kamwe Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,"4,752","6,768","6,912","16,416",-,0,"10,368"
01/08/2026,Normal,Mzimba North,MZN0557,Kamwe Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,280,305,832,-,0,0
01/08/2026,Normal,Mzimba North,MZN0557,Kamwe Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,320,397,774,-,0,0
01/08/2026,Normal,Mzimba North,MZN0557,Kamwe Health Centre,Health Centre,Government of Malawi,FP000600,Oral Contraceptive Tablets - Levonogestrel Only 0.3mg (Microlut),Each,0,0,3,87,-,0,0
01/08/2026,Normal,Mzimba North,MZN0557,Kamwe Health Centre,Health Centre,Government of Malawi,FP000200,"Oral Contraceptive, combined low oestrogen (Microgynon) Ethinylestradiol 0.03mg + Levonorgestrel 0.15mg",Cycle,0,93,86,183,-,0,0
01/08/2026,Normal,Lilongwe,LL1519,Kamuzu Central Hospital Pharmacy,Central Hospital,Government of Malawi,BB010800,"Calcium gluconate 10%, 10ml",Each,0,134,79,125,-,0,0
01/08/2026,Normal,Lilongwe,LL1519,Kamuzu Central Hospital Pharmacy,Central Hospital,Government of Malawi,BB021301,"Dexamethasone Injection 5mg/2ml,2ml",Each,"2,000","1,849","1,804","3,198",-,30,-9
01/08/2026,Normal,Lilongwe,LL1519,Kamuzu Central Hospital Pharmacy,Central Hospital,Government of Malawi,FP002400,Copper containing IUCD (Copper T®),Set,0,0,1,1,-,30,0
01/08/2026,Normal,Lilongwe,LL1519,Kamuzu Central Hospital Pharmacy,Central Hospital,Government of Malawi,ST062500,Female Condoms,Piece,0,0,0,950,-,0,0
01/08/2026,Normal,Lilongwe,LL1519,Kamuzu Central Hospital Pharmacy,Central Hospital,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,0,0,8,-,0,0
01/08/2026,Normal,Lilongwe,LL1519,Kamuzu Central Hospital Pharmacy,Central Hospital,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,90,84,560,-,0,0
01/08/2026,Normal,Lilongwe,LL1519,Kamuzu Central Hospital Pharmacy,Central Hospital,Government of Malawi,FP003800,Male condoms,Each,0,0,"6,912","519,552",-,0,864
01/08/2026,Normal,Lilongwe,LL1519,Kamuzu Central Hospital Pharmacy,Central Hospital,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,0,67,205,-,0,0
01/08/2026,Normal,Lilongwe,LL1545,Kamuzu Barracks Health Centre,Health Centre,Government of Malawi,BB010800,"Calcium gluconate 10%, 10ml",Each,0,0,0,5,-,0,0
01/08/2026,Normal,Lilongwe,LL1545,Kamuzu Barracks Health Centre,Health Centre,Government of Malawi,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,0,0,5,-,0,0
01/08/2026,Normal,Lilongwe,LL1545,Kamuzu Barracks Health Centre,Health Centre,Government of Malawi,FP002400,Copper containing IUCD (Copper T®),Set,0,50,20,23,-,0,50
01/08/2026,Normal,Lilongwe,LL1545,Kamuzu Barracks Health Centre,Health Centre,Government of Malawi,FP002402,"Hormonal Intrauterine device (H-IUD), 6 years e.g Avibela/Mirena",Set,0,5,5,2,-,0,5
01/08/2026,Normal,Lilongwe,LL1545,Kamuzu Barracks Health Centre,Health Centre,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,0,6,22,-,0,0
01/08/2026,Normal,Lilongwe,LL1545,Kamuzu Barracks Health Centre,Health Centre,Government of Malawi,FP003700,"Jadelle( Levonorgestrel  75mg/rod),2rod Implant,5  year Efficacy",Set,0,10,4,90,-,0,100
01/08/2026,Normal,Lilongwe,LL1545,Kamuzu Barracks Health Centre,Health Centre,Government of Malawi,FP004700,"Levonorgestrel (0.75mg, 2 Tab) or (1.5mg, 1 Tab) Pack - Emergency Pill",Piece,0,160,139,275,-,0,0
01/08/2026,Normal,Lilongwe,LL1545,Kamuzu Barracks Health Centre,Health Centre,Government of Malawi,FP003800,Male condoms,Each,"10,368","2,880","2,928","7,488",-,0,0
01/08/2026,Normal,Lilongwe,LL1545,Kamuzu Barracks Health Centre,Health Centre,Government of Malawi,BB049500,"Medroxyprogesterone Acetate Intramuscular Injection, 150mg/ml e.g Depo Provera/Triclofem,",Cycle,0,300,194,360,-,0,0
01/08/2026,Normal,Lilongwe,LL1545,Kamuzu Barracks Health Centre,Health Centre,Government of Malawi,FP004900,"Medroxyprogesterone Acetate,Subcutaneous Injection, 104mg/0.65ml e.g  Sayana Press",Each,0,232,211,0,-,0,0
01/08/2026,Normal,Mzimba South,MZS0514,Kamteteka Health Centre,Health Centre,Government of Malawi,BB021301,"Dexamethasone Injection 5mg/2ml,2ml",Each,0,0,4,100,-,0,-100
01/08/2026,Normal,Mzimba South,MZS0514,Kamteteka Health Centre,Health Centre,Government of Malawi,BB048900,"Magnesium Sulphate, 50%, Injection, Ampoule of 2ml, Subcutaneous",Ampoule,0,0,4,90,-,0,0
01/08/2026,Normal,Mzimba South,MZS0514,Kamteteka Health Centre,Health Centre,Government of Malawi,FP002400,Copper containing IUCD (Copper T®),Set,0,0,0,5,-,0,0
01/08/2026,Normal,Mzimba South,MZS0514,Kamteteka Health Centre,Health Centre,Government of Malawi,ST062500,Female Condoms,Piece,0,100,34,59,-,0,-1
01/08/2026,Normal,Mzimba South,MZS0514,Kamteteka Health Centre,Health Centre,Government of Malawi,FP002402,"Hormonal Intrauterine device (H-IUD), 6 years e.g Avibela/Mirena",Set,0,0,0,5,-,0,5
01/08/2026,Normal,Mzimba South,MZS0514,Kamteteka Health Centre,Health Centre,Government of Malawi,FP004100,"Implanon (Etonogestrel 68mg),Implant,1 rod,",Pack,0,19,20,24,-,0,0
